PRT01   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT02   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT03   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT02   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT05   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT06   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT07   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT08   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT09   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT10   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT11   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT12   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT13   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT14   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT15   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT16   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT17   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT18   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT19   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT20   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT21   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT22   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT23   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT24   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT25   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT26   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT27   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT28   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT29   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT30   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT31   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT32   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT33   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT34   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT35   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT36   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT37   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT38   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT39   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT40   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT41   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT42   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT43   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT44   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT45   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT46   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT47   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT48   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT49   ;  Jorge Silva Gomes ; PartidoA;   19701212
PRT50   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG01   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG02   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG03   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG04   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG05   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG06   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG07   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG08   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG09   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG10   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG11   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG12   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG13   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG14   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG15   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG16   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG17   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG18   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG19   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG20   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG21   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG22   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG23   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG24   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG25   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG26   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG27   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG28   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG29   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG30   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG31   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG32   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG33   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG34   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG35   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG36   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG37   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG38   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG39   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG40   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG41   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG42   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG43   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG44   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG45   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG46   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG47   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG48   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG49   ;  Jorge Silva Gomes ; PartidoA;   19701212
BRG50   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS01   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS02   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS03   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS04   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS05   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS06   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS07   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS08   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS09   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS10   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS11   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS12   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS13   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS14   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS15   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS16   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS17   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS18   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS19   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS20   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS21   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS22   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS23   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS24   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS25   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS26   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS27   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS28   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS29   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS30   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS31   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS32   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS33   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS34   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS35   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS36   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS37   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS38   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS39   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS40   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS41   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS42   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS43   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS44   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS45   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS46   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS47   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS48   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS49   ;  Jorge Silva Gomes ; PartidoA;   19701212
LIS50   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO01   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO02   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO03   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO04   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO05   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO06   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO07   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO08   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO09   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO10   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO11   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO12   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO13   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO14   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO15   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO16   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO17   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO18   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO19   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO20   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO21   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO22   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO23   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO24   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO25   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO26   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO27   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO28   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO29   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO30   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO31   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO32   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO33   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO34   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO35   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO36   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO37   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO38   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO39   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO40   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO41   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO42   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO43   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO44   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO45   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO46   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO47   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO48   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO49   ;  Jorge Silva Gomes ; PartidoA;   19701212
ACO46   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD01   ;  Jorge Silva Gomes ; PartidoA;   19701212
